label,num_heavy,degree,ligand
1mmv,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1mmv/ligand.mol
1t46,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1t46/ligand.mol
1m2z,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1m2z/ligand.mol
1gm8,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1gm8/ligand.mol
1lpz,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1lpz/ligand.mol
1meh,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1meh/ligand.mol
1jd0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1jd0/ligand.mol
1yqy,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1yqy/ligand.mol
1k3u,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1k3u/ligand.mol
1ygc,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1ygc/ligand.mol
1p62,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p62/ligand.mol
1hq2,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1hq2/ligand.mol
1z95,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1z95/ligand.mol
1lrh,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1lrh/ligand.mol
1xoz,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1xoz/ligand.mol
1w1p,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1w1p/ligand.mol
1unl,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1unl/ligand.mol
1n2j,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1n2j/ligand.mol
1p2y,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
